warning_type,rho,p_value
PhanUndeclaredClassConstant,-0.404,p < 0.001
PhanTypeMismatchArgumentReal,0.392,p < 0.001
PhanTypePossiblyInvalidDimOffset,0.391,p < 0.001
PhanTypeMismatchForeach,0.387,p < 0.001
PhanTypeComparisonFromArray,0.382,p < 0.001
PhanUndeclaredVariableDim,0.381,p < 0.001
PhanUndeclaredGlobalVariable,0.371,p < 0.001
PhanPossiblyUndeclaredVariable,0.364,p < 0.001
PhanTypeMismatchArgumentNullable,0.364,p < 0.001
PhanTypeMismatchPropertyDefault,0.362,p < 0.001
PhanTypeInvalidDimOffset,0.359,p < 0.001
